codigo;sum_trx;mean_trx;sum_monto;mean_monto;clientes_unicos;trx_percapita;monto_percapita
737998819;46;23;42506840040;21253420020;2;23,000;21253420020
737998824;334;4;26028498675;299178146;83;4,024;313596370
737998825;362;4;39252742262;417582364;79;4,582;496870155
737998826;5861;3;95820982843;53621143;794;7,382;120681339
737998828;23;1;149086483;7454324;20;1,150;7454324
737998832;15141;3;294003652352;55430553;2516;6,018;116853598
737998834;37;1;226208167;8378080;26;1,423;8700314
737998835;60;2;8973948652;289482215;25;2,400;358957946
737998838;1162;3;569893680362;1274929934;367;3,166;1552843816
737998845;239;3;125634395252;1675125270;61;3,918;2059580250
737998847;5625;4;226667019294;141049794;805;6,988;281573937
737998848;226;6;154998351543;4078903988;33;6,848;4696919744
737998851;4170;3;25006924487;20873894;751;5,553;33298168
737998852;235;2;1475761386;10616988;117;2,009;12613345
737998853;307;5;239399186;3740612;61;5,033;3924577
737998878;2655;3;1029121103;1168128;719;3,693;1431323
737998883;161;5;87814954669;2508998705;35;4,600;2508998705
737998895;3;2;18689090;9344545;2;1,500;9344545
737998896;691;4;5460152343;28145115;183;3,776;29836898
737998905;608;6;203918479975;1999200784;80;7,600;2548981000
737998907;4;1;23793834;7931278;3;1,333;7931278
737998912;3920;3;162991504666;115025762;916;4,279;177938324
737998913;245;3;5698567916;78062574;63;3,889;90453459
737998921;1966;3;46567837788;80289375;412;4,772;113028732
737998922;487;2;5256995457;17407270;216;2,255;24337942
737998932;61;1;1521520668;36226683;39;1,564;39013350
737998934;2142;5;92373781704;209464358;303;7,069;304863966
737998935;4258;3;837206014245;605355036;820;5,193;1020982944
737998940;481;6;212749912;2626542;76;6,329;2799341
737998941;561;3;4025648623;18215605;154;3,643;26140575
737998942;332;2;32857962533;209286386;133;2,496;247052350
737998951;5;5;34339333;34339333;1;5,000;34339333
737998953;2;1;15455879;7727940;2;1,000;7727940
737998954;16;4;121682860;30420715;4;4,000;30420715
737998955;1257;7;54196990546;291381670;136;9,243;398507283
737998956;64;3;30576080964;1456003855;19;3,368;1609267419
737999366;4;1;26479441;8826480;3;1,333;8826480
737999386;908;8;3502469726;28946031;110;8,255;31840634
737999387;93;3;75456496926;2286560513;33;2,818;2286560513
737999388;22;2;136644197;15182689;9;2,444;15182689
737999396;91;5;60241455333;3346747518;18;5,056;3346747518
737999400;22;1;150365837;9397865;15;1,467;10024389
737999402;67;1;4431443470;92321739;43;1,558;103056825
737999403;3766;3;77517060094;64597550;643;5,857;120555303
737999406;377;2;40473281789;162543300;213;1,770;190015407
737999409;83;9;44573587;4952621;9;9,222;4952621
737999412;2;1;14411391;7205696;2;1,000;7205696
737999414;7201;3;28064495839;11412971;1207;5,966;23251446
737999415;580;3;207779492532;1082184857;142;4,085;1463235863
737999416;2806;3;319521259401;392532260;573;4,897;557628725
737999417;1;1;7721454;7721454;1;1,000;7721454
737999418;73;2;1487652536;39148751;34;2,147;43754486
737999419;9410;3;522368699294;171324598;1341;7,017;389536689
737999420;33;1;188333505;8188413;22;1,500;8560614
737999421;506;2;48604444835;189861113;226;2,239;215063915
737999422;117;3;47093787921;1308160776;30;3,900;1569792931
737999425;802;8;25464843282;259845340;66;12,152;385830959
737999426;51;2;348543227;13405509;24;2,125;14522634
737999427;3043;3;27696773655;26030802;695;4,378;39851473
737999429;1231;6;26992707291;128536701;119;10,345;226829473
737999431;793;2;44177816361;108545003;291;2,725;151813802
737999432;92;3;5055891716;163093281;31;2,968;163093281
737999433;848;4;66205472081;289106865;159;5,333;416386617
737999435;1218;5;68002477795;272009911;196;6,214;346951417
737999437;937;2;13994879603;32622097;385;2,434;36350337
737999438;169;1;2761614047;20764015;121;1,397;22823257
737999439;151;2;38543851497;535331271;65;2,323;592982331
737999441;21;2;10053930842;913993713;11;1,909;913993713
738000069;94;2;21802204365;436044087;49;1,918;444942946
738000114;332;3;1955644372;16297036;106;3,132;18449475
